S.N.,Traded Companies,Total,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
29,CITIZENS MUTUAL FUND 2,1628.0,2,9.39,9.22,9.39,1600,14769.0,9.25,0.14 
28,Citizens Mutual Fund -1,1750.89,3,8.67,8.61,8.61,1725,14895.75,8.5,0.11 
3,ADHIKHOLA LAGHUBITTA BITTIYA SANSTHA LIMITED,1658.0,8,542.5,503.0,542.5,70,36964.9,493.2,49.30 
2,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,2639.9,10,849.9,822.1,844.9,123,103140.4,838.0,6.90 
1,8.75 % Prime Debenture 2085,2773.7,9,870.0,853.7,870.0,180,154645.5,853.5,16.50 
17,Buddha Bhumi Nepal Hydropower Company Limited,1968.0,32,395.0,375.0,388.0,810,309627.0,390.0,-2.00 
16,Bottlers Nepal (Terai) Limited,38139.9,3,12709.9,12700.0,12700.0,30,381099.0,12460.7,239.30 
35,Emerging Nepal Limited,2576.1,19,680.0,641.1,655.0,600,394755.9,654.0,1.00 
31,Civil Laghubitta Bittiya Sanstha Ltd.,2879.0,15,754.0,731.0,745.0,649,478982.7,730.0,15.00 
40,Ganapati Laghubitta Bittiya Sanstha Limited,3371.8,26,948.9,900.0,948.9,574,523260.0,949.0,-0.10 
15,Bishal Bazar Company Limited,10720.0,15,3558.0,3492.0,3500.0,170,596460.0,3425.0,75.00 
5,Ajod Insurance Limited,2690.0,39,472.0,455.0,460.0,1303,598605.5,455.0,5.00 
37,Excel Development Bank Ltd.,2827.9,18,353.9,347.0,353.0,1774,618558.4,347.0,6.00 
10,Asha Laghubitta Bittiya Sanstha Ltd,4212.9,22,1239.0,1191.1,1234.8,548,663700.0,1215.0,19.80 
14,Best Finance Company Ltd.,4791.3,48,369.2,350.1,358.0,3714,1325770.5,355.0,3.00 
24,Chhyangdi Hydropower Ltd.,5930.4,52,277.4,269.0,273.0,5111,1388153.6,269.0,4.00 
18,Butwal Power Company Limited,5373.0,84,330.0,313.0,319.0,4411,1416222.4,314.5,4.50 
33,Deprosc Laghubitta Bittiya Sanstha Limited,4626.0,56,975.0,947.0,958.0,1746,1675254.1,945.0,13.00 
32,Corporate Development Bank Limited,7105.0,67,293.0,275.0,287.0,6250,1785434.7,285.0,2.00 
34,Dibyashwori Hydropower Ltd.,9129.0,70,220.0,208.0,215.0,8486,1792876.0,212.0,3.00 
19,CEDB Hydropower Development Company Limited,4684.2,64,699.0,670.2,690.0,2625,1797648.0,677.9,12.10 
38,First Micro Finance Laghubitta Bittiya Sanstha Limited,5327.0,50,632.0,616.0,623.0,3456,2148780.1,614.0,9.00 
22,Chandragiri Hills Limited,5338.5,49,1036.5,999.0,1005.0,2298,2324804.0,1017.0,-12.00 
12,Balephi Hydropower Limited,10819.2,632,274.3,230.0,259.9,10055,2535242.0,250.0,9.90 
20,Central Finance Co. Ltd.,10926.1,94,283.0,260.1,273.0,10110,2764799.0,268.0,5.00 
26,Citizen Bank International Limited,18190.4,119,220.0,213.7,217.7,17539,3812563.4,216.8,0.90 
36,Everest Bank Limited,10285.2,96,452.0,438.2,445.0,8950,3983396.0,447.0,-2.00 
6,Ankhu Khola Jalvidhyut Company Ltd,20458.0,152,209.0,200.0,203.0,19846,4065566.0,203.0,0.00 
39,Forward Microfinance Laghubitta Bittiya Sanstha Limited,8933.0,76,2319.0,2280.0,2307.0,2027,4666016.5,2289.0,18.00 
25,Chilime Hydropower Company Limited,13792.0,110,384.0,372.0,380.0,12656,4802774.9,379.0,1.00 
13,Barun Hydropower Co. Ltd.,18941.8,105,455.8,430.0,446.0,17610,7812737.2,435.9,10.10 
21,Century Commercial Bank Ltd.,44611.6,248,197.9,190.0,193.7,44030,8547004.5,192.0,1.70 
11,Asian Life Insurance Co. Limited,18469.1,128,555.0,536.1,540.0,16838,9172823.8,546.9,-6.90 
4,Agricultural Development Bank Limited,29961.2,274,330.0,319.2,321.0,28991,9361424.8,327.0,-6.00 
23,Chhimek Laghubitta Bittiya Sanstha Limited,13071.0,219,990.0,960.0,975.0,10146,9900564.7,970.0,5.00 
27,Citizen Investment Trust,12869.9,133,2339.0,2285.0,2318.9,5927,13728089.0,2304.0,14.90 
7,Api Power Company Ltd.,57531.0,352,265.0,252.0,260.0,56754,14716489.3,255.8,4.20 
9,Arun Valley Hydropower Development Co. Ltd.,60699.9,320,386.9,370.0,381.0,59562,22589657.7,375.0,6.00 
8,Arun Kabeli Power Ltd.,56538.0,327,444.0,421.0,437.0,55236,23914684.4,427.0,10.00 
30,Civil Bank Ltd,227962.0,315,211.0,202.0,209.0,227340,47119785.5,201.9,7.10 
